checkpoint,dataset,snr,n,mean,t_lo,t_hi,median,s_lo,s_hi,spread_kind
ft_A,steering,inf,9,0.972661700182491,0.9681868666982455,0.9771365336667365,0.9705853343009949,0.9642452418804168,0.9810543179512023,min-max
ft_A,tablet_writing,10.0,44,0.8097172152944797,0.7990198187392085,0.820414611849751,0.8093481557801309,0.7356426355588248,0.869324616952376,p2.5-p97.5
ft_A,tablet_writing,20.0,44,0.8574446810066747,0.8474678067063003,0.8674215553070491,0.857881681610118,0.7904228673852909,0.9175971050966869,p2.5-p97.5
ft_A,tablet_writing,inf,44,0.8636412807637754,0.8537973310355796,0.8734852304919712,0.8654471321130197,0.7970952223950714,0.9256522750312631,p2.5-p97.5
ft_A,whacamole,10.0,181,0.9009013683097797,0.8908277711932812,0.9109749654262783,0.9286616444587708,0.6912181377410889,0.9587565362453461,p2.5-p97.5
ft_A,whacamole,20.0,181,0.9256901289876653,0.915282022085842,0.9360982358894887,0.9561814069747924,0.7110589444637299,0.9795091152191162,p2.5-p97.5
ft_A,whacamole,inf,181,0.9292827867671271,0.9188204649708246,0.9397451085634295,0.958849310874939,0.7128854691982269,0.9814538359642029,p2.5-p97.5
ft_A2,Fitts,10.0,10,0.8684830389472683,0.8383882765495378,0.8985778013449988,0.8705243457331356,0.783500854615812,0.9325545551956341,min-max
ft_A2,Fitts,20.0,10,0.8820681266547309,0.8531351359729805,0.9110011173364813,0.8842089215411472,0.7975756226590386,0.9415250571642054,min-max
ft_A2,Fitts,inf,10,0.8821688526447996,0.8535949195939172,0.910742785695682,0.8851870360715034,0.7984139550891187,0.9421928974523706,min-max
ft_A2,crank,10.0,5,0.8852566508054732,0.8663692585158692,0.9041440430950772,0.8923635134100913,0.866928533911705,0.9005872079730034,min-max
ft_A2,crank,20.0,5,0.9264842547774315,0.9171343510120274,0.9358341585428355,0.9298756143450737,0.916432483792305,0.9348044511675835,min-max
ft_A2,crank,inf,5,0.8988686146736147,0.8924288776697836,0.9053083516774457,0.8995438367128372,0.8908858218789101,0.9041239994764328,min-max
ft_A2,object_moving,10.0,5,0.9240636436641216,0.9176463156081827,0.9304809717200606,0.9236568838357926,0.9167794547975063,0.9311191216111183,min-max
ft_A2,object_moving,20.0,5,0.9753253615647555,0.9730617748803674,0.9775889482491436,0.9761642664670944,0.9728397704660893,0.9769952174276113,min-max
ft_A2,object_moving,inf,5,0.9695322836190463,0.9650427987162633,0.9740217685218293,0.9716368153691292,0.9653909541666508,0.9730749618262052,min-max
ft_A2,pointing,10.0,2,0.9686531077979486,0.96295823937458,0.9743479762213171,0.9686531077979486,0.9682049119328878,0.9691013036630093,min-max
ft_A2,pointing,20.0,2,0.9812317907485928,0.9723518251509123,0.9901117563462732,0.9812317907485928,0.9805329222995115,0.9819306591976742,min-max
ft_A2,pointing,inf,2,0.9773154798390666,0.9571269363589315,0.9975040233192017,0.9773154798390666,0.9757266070088769,0.9789043526692562,min-max
ft_A2,steering,10.0,9,0.9433780608905686,0.9392761092243868,0.9474800125567505,0.9426359161734581,0.9356490582227707,0.9516192629933358,min-max
ft_A2,steering,20.0,9,0.9706018267406358,0.9661615615411232,0.9750420919401483,0.9683005243539811,0.9625233501195908,0.9790650084614754,min-max
