checkpoint,snr,metric,n_datasets,est_balanced,lo,hi,est_trial_pooled,across_datasets_min,across_datasets_max,across_datasets_sd
pre_rerun_s1000,10.0,Reconstruction_MASE,7,0.25674383771803844,0.2546082122631959,0.2589914572588663,0.299437535917354,0.158561593818,0.3889052183846356,0.08950027257803748
pre_rerun_s1000,10.0,Reconstruction_R2,7,0.8320244066216277,0.8287169558865027,0.8353646808791003,0.8220943035228537,0.4544827883839607,0.9715055145246916,0.1758462371714626
pre_rerun_s1000,20.0,Number_of_submovements_per_second,7,3.9835822561332503,3.9546877234574813,4.011647087797618,4.284617077525767,1.8232062892795873,8.474636924421471,2.1940003884280896
pre_rerun_s1000,20.0,Reconstruction_MASE,7,0.21105567567006064,0.20901180507035924,0.21329183756538755,0.26568316726157615,0.12315107595875001,0.3412148287671666,0.08554933769097173
pre_rerun_s1000,20.0,Reconstruction_R2,7,0.8740210125236566,0.8712721989317629,0.8766359124762952,0.8526381295766087,0.618052673459053,0.9746583321433117,0.12441848965171633
pre_rerun_s1000,inf,Number_of_submovements_per_second,7,4.776831440718004,4.744607315749727,4.8091476662543995,4.708994278978601,1.9848187217743194,8.78651529209484,2.0781215785178166
pre_rerun_s1000,inf,Reconstruction_MASE,7,0.2031357290735151,0.2010874446943055,0.20534970096271546,0.260314730197795,0.12051640388875001,0.3338985987558537,0.0835567554268489
pre_rerun_s1000,inf,Reconstruction_R2,7,0.8730322383724222,0.8699924519949903,0.8760251022304874,0.853822007667001,0.5932671366333961,0.9745708522475481,0.13365169214673664
ft_released,10.0,Number_of_submovements_per_second,7,3.2920466786161184,3.2692404978907303,3.314095300946357,3.571912069393116,0.8553438430916556,7.055767299019347,2.195273785555793
ft_released,10.0,Reconstruction_MASE,7,0.23979034249127956,0.23767274081395204,0.24204199661424616,0.28846194469081254,0.07157216250899999,0.37734641913706923,0.10447952400958954
ft_released,10.0,Reconstruction_R2,7,0.9003717126086722,0.8983575604568875,0.9022913558800796,0.8652247954943366,0.8085301097083549,0.9683303635780145,0.0519270936342597
ft_released,20.0,Number_of_submovements_per_second,7,4.211259558061029,4.180637220973257,4.2414829946209665,4.338354606141453,1.5937448655136508,8.568208221163845,2.4362025592606007
ft_released,20.0,Reconstruction_MASE,7,0.18036188160763417,0.17839647844479709,0.18244108048228821,0.24190265560261334,0.052183519667,0.3100022965972113,0.09442733028209935
ft_released,20.0,Reconstruction_R2,7,0.9311022190089032,0.9293216734418933,0.9327875603480807,0.8941058195284699,0.8561899472587644,0.9809063233184256,0.0476874009391122
ft_released,inf,Number_of_submovements_per_second,7,4.904831098068344,4.869351604292798,4.939990240626085,4.762900640025869,1.815615418894608,9.067922234755736,2.373802388399543
ft_released,inf,Reconstruction_MASE,7,0.17328274734574983,0.17136370547806462,0.17541196716936372,0.23596485513940385,0.06614329407,0.29716338583767427,0.08718495931836291
ft_released,inf,Reconstruction_R2,7,0.9275327277758348,0.9257119359992254,0.9292384728642583,0.8935830574076533,0.8638302107855885,0.9827660008021365,0.04900055566367656
ft_A,10.0,Number_of_submovements_per_second,7,3.465977194947006,3.4419340044889633,3.4899137757372567,3.707049768856925,0.9051908499330806,7.13925335499669,2.26808744141505
ft_A,10.0,Reconstruction_MASE,7,0.24307946807054195,0.24094642147674616,0.24527264139837138,0.2901554983571254,0.08937530936299999,0.377701405801105,0.09979109703458439
ft_A,10.0,Reconstruction_R2,7,0.8911584109458899,0.8891321646706726,0.893118713979319,0.8598715262492854,0.8087332065373275,0.9683916648170784,0.05832981990113202
ft_A,20.0,Number_of_submovements_per_second,7,4.237651851993874,4.20639655895685,4.267769458310513,4.38802232341472,1.5972764181357701,8.617168792186051,2.4327651184584784
ft_A,20.0,Reconstruction_MASE,7,0.18090107693028523,0.17892094715638057,0.18304805126539417,0.2421784633131074,0.054034987864,0.31016418723257033,0.09382749957236572
ft_A,20.0,Reconstruction_R2,7,0.9306522382145916,0.9288372080566647,0.9323368016207213,0.8939752861109009,0.8567602182181061,0.9804255870739502,0.04736802978407484
ft_A,inf,Number_of_submovements_per_second,7,4.893550738112798,4.858181199396997,4.928107924104469,4.800951818639329,1.9008821870554307,9.129934511276074,2.3877604522722624
ft_A,inf,Reconstruction_MASE,7,0.17519634542795778,0.1732179960524694,0.1773440916394898,0.23713616929995915,0.068462428989,0.2978478007840042,0.08613585659145412
ft_A,inf,Reconstruction_R2,7,0.9255840572515182,0.9237387172870225,0.9273056901044601,0.892128838846371,0.8634630471460131,0.9789190222543295,0.049162577784880014
ft_B,10.0,Number_of_submovements_per_second,7,3.410770881370371,3.3872815476471745,3.434495131507107,3.8209236577090837,0.9031212134736741,7.740110908256404,2.3279988920695036
ft_B,10.0,Reconstruction_MASE,7,0.2422623320070875,0.23989919319225803,0.24472823635105048,0.2923032671202123,0.073583733578,0.37319442134701397,0.10671733493970419
ft_B,10.0,Reconstruction_R2,7,0.9003572059206519,0.8982445863067846,0.9023602386111422,0.8659937473938094,0.8130673782758354,0.968720408868301,0.051596776691503816
ft_B,20.0,Number_of_submovements_per_second,7,4.246590365253769,4.2149862071023945,4.277574961859041,4.43373847354497,1.6802358017800756,8.776730448610333,2.4646119263713278
ft_B,20.0,Reconstruction_MASE,7,0.1829492238999806,0.18070080404819672,0.18543284674029512,0.2469356975023275,0.054283724319,0.3079526140265719,0.09610808735296326
ft_B,20.0,Reconstruction_R2,7,0.9293096573204858,0.9273381551087914,0.9312221546390769,0.8931569704526587,0.8580200201867286,0.9818556458848811,0.047991567107289884
ft_B,inf,Number_of_submovements_per_second,7,4.827380183329633,4.79298701674058,4.860638084606253,4.839208744575067,2.0404764313123627,9.159437300109591,2.3638353600013975
ft_B,inf,Reconstruction_MASE,7,0.1761531188831034,0.17388915363157847,0.17866806792058648,0.24193893883781134,0.062090257105999996,0.2958868809994738,0.09041354648743136
ft_B,inf,Reconstruction_R2,7,0.9271749228860238,0.9251492087313161,0.9290551558344113,0.8925313194803727,0.8646963820335771,0.9802379290495575,0.047683310751195224
ft_A2,10.0,Number_of_submovements_per_second,7,3.377592369089207,3.354267550153801,3.4008710332908243,3.6294126394815156,0.879994531722513,6.867726917055912,2.107185222367215
ft_A2,10.0,Reconstruction_MASE,7,0.23970785632399697,0.237682027100742,0.24193814588439236,0.28836963516447534,0.07157033259900002,0.37691428556432516,0.10466166901191284
ft_A2,10.0,Reconstruction_R2,7,0.9004778764826467,0.8984986038074678,0.9023108249188653,0.8653273524727905,0.809066221137575,0.9686655759113251,0.05225776730718774
ft_A2,20.0,Number_of_submovements_per_second,7,4.21259193036346,4.18117731290292,4.243603075540342,4.356057844451401,1.6166894939233103,8.336309532619477,2.3196582203714633
