checkpoint,dataset,snr,metric,median,lower,upper,n_participants,interval
ft_B2,object_moving,10.0,Number_of_submovements_per_second,2.217466078698635,2.046664866308371,2.271917560803039,5,min–max
ft_B2,object_moving,20.0,Reconstruction_R2,0.9741594968018709,0.9635186672210694,0.9748036903994424,5,min–max
ft_B2,object_moving,20.0,Reconstruction_MASE,0.09246296108695652,0.0916937323,0.0993668525,5,min–max
ft_B2,object_moving,20.0,Number_of_submovements_per_second,3.1110223680734634,2.9021158162504435,3.163235673148717,5,min–max
ft_B2,object_moving,inf,Reconstruction_R2,0.9648488461971283,0.9358582313244159,0.9825336933135986,5,min–max
ft_B2,object_moving,inf,Reconstruction_MASE,0.10521831975,0.07437088976923077,0.11751960061538462,5,min–max
ft_B2,object_moving,inf,Number_of_submovements_per_second,3.686028548205892,3.6256375081009335,3.9845263427839828,5,min–max
ft_B2,pointing,10.0,Reconstruction_R2,0.9643234887839237,0.959994151478722,0.9686528260891254,2,min–max
ft_B2,pointing,10.0,Reconstruction_MASE,0.20579268375335774,0.20344062396825396,0.20814474353846155,2,min–max
ft_B2,pointing,10.0,Number_of_submovements_per_second,0.8830146977043414,0.8183812429862363,0.9476481524224465,2,min–max
ft_B2,pointing,20.0,Reconstruction_R2,0.9756253918596343,0.9728912641604741,0.9783595195587944,2,min–max
ft_B2,pointing,20.0,Reconstruction_MASE,0.1627260489240196,0.15402310701470587,0.17142899083333332,2,min–max
ft_B2,pointing,20.0,Number_of_submovements_per_second,1.6435565224930864,1.4382560659364305,1.8488569790497422,2,min–max
ft_B2,pointing,inf,Reconstruction_R2,0.9785555841828256,0.973528084470265,0.9835830838953863,2,min–max
ft_B2,pointing,inf,Reconstruction_MASE,0.1474879417829704,0.14243443881967213,0.15254144474626866,2,min–max
ft_B2,pointing,inf,Number_of_submovements_per_second,2.6215715769629133,2.3594627515482367,2.88368040237759,2,min–max
ft_B2,steering,10.0,Reconstruction_R2,0.9372761845588684,0.9295779625574748,0.9496342726051807,9,min–max
ft_B2,steering,10.0,Reconstruction_MASE,0.24682029083333334,0.2232821942857143,0.2664355216666667,9,min–max
ft_B2,steering,10.0,Number_of_submovements_per_second,3.0145533497516928,2.6832132786512375,3.591732069849968,9,min–max
ft_B2,steering,20.0,Reconstruction_R2,0.9670928478240967,0.9608619175851345,0.9785190038383007,9,min–max
ft_B2,steering,20.0,Reconstruction_MASE,0.15093787933333333,0.1282824225625,0.16373679666666666,9,min–max
ft_B2,steering,20.0,Number_of_submovements_per_second,4.09636814147234,3.7349397595971823,4.503790615126491,9,min–max
ft_B2,steering,inf,Reconstruction_R2,0.9718426068623861,0.9677886525789897,0.9820085728869719,9,min–max
ft_B2,steering,inf,Reconstruction_MASE,0.13839111666666667,0.11149075558823529,0.14301159333333333,9,min–max
ft_B2,steering,inf,Number_of_submovements_per_second,5.297261802479625,4.742150846868753,5.662043333053589,9,min–max
ft_B2,tablet_writing,10.0,Reconstruction_R2,0.8113199127347845,0.7247907519340515,0.9093494415283204,33,min–max
ft_B2,tablet_writing,10.0,Reconstruction_MASE,0.3728954975,0.28769395,0.45086359,33,min–max
ft_B2,tablet_writing,10.0,Number_of_submovements_per_second,8.385684370994568,4.109589010477066,11.830986142158508,33,min–max
ft_B2,tablet_writing,20.0,Reconstruction_R2,0.8586096912622452,0.7949723839759827,0.9463697075843811,40,p2.5–p97.5
