checkpoint,dataset,snr,n,delta,lo,hi,p
pre_rerun_s1000,object_moving,10.0,5,-0.020253250151872647,-0.0469988538512288,0.006492353547483509,0.10336381146373876
pre_rerun_s1000,object_moving,20.0,5,-0.0037438189983367786,-0.009700297156330393,0.0022126591596568356,0.15591043378168076
pre_rerun_s1000,object_moving,inf,5,-0.003027143105864538,-0.0066053447230975905,0.0005510585113685145,0.07861314402518463
pre_rerun_s1000,pointing,10.0,2,0.0034750190783151558,-0.03777759175570022,0.04472762991233053,0.47837921095595765
pre_rerun_s1000,pointing,20.0,2,-0.002100221633704491,-0.010445385552746206,0.006244942285337224,0.1929493478956388
pre_rerun_s1000,pointing,inf,2,-0.0011744147817286388,-0.01499130124709912,0.012642471683641842,0.47552419278067715
pre_rerun_s1000,steering,10.0,9,0.0027737066149711533,0.001881613787842747,0.0036657994420995596,9.521836036959055e-05
pre_rerun_s1000,steering,20.0,9,0.0027454584836959814,0.001708279409239558,0.0037826375581524047,0.000288168322455467
pre_rerun_s1000,steering,inf,9,0.0028804411490758308,0.0021360081944987504,0.003624874103652911,1.9744487008769815e-05
pre_rerun_s1000,tablet_writing,10.0,44,-0.000992645106374696,-0.0033750080840058115,0.0013897178712564192,0.40539775018597035
pre_rerun_s1000,tablet_writing,20.0,44,-0.00166506945326228,-0.00396529359215555,0.0006351546856309897,0.1516050703630664
pre_rerun_s1000,tablet_writing,inf,44,-0.002488507505154235,-0.004876879736340321,-0.00010013527396814884,0.041517251340577745
pre_rerun_s1000,whacamole,10.0,181,0.0017806443061617954,0.000643699930952011,0.00291758868137158,0.002316482289988413
pre_rerun_s1000,whacamole,20.0,181,0.0012715264578550517,-1.7269535608581237e-05,0.0025603224513186845,0.05311627876812411
pre_rerun_s1000,whacamole,inf,181,0.0005538829123776385,-0.0005000064806608651,0.001607772305416142,0.30110244130451325
ft_A,Fitts,10.0,10,-0.0007472275519161742,-0.0018058997224991214,0.000311444618666773,0.14480454436301315
ft_A,Fitts,20.0,10,-0.00024256017432446874,-0.0013510048691720371,0.0008658845205230997,0.6324416073996827
ft_A,Fitts,inf,10,-0.0012205662622601587,-0.0028492053936196907,0.0004080728690993734,0.12424744470058982
ft_A,crank,10.0,5,-0.05995162087678911,-0.07167097279716032,-0.0482322689564179,0.00014268815219483519
ft_A,crank,20.0,5,-0.0021574601531028524,-0.00403541272250144,-0.00027950758370426485,0.03322634284585308
ft_A,crank,inf,5,-0.006453149974346184,-0.012603083954183416,-0.00030321599450895166,0.0435326326347802
ft_A,object_moving,10.0,5,-0.0029635705053806306,-0.008572310554215729,0.002645169543454468,0.21626474217795488
ft_A,object_moving,20.0,5,-0.0010615910589695022,-0.005520076302777548,0.0033968941848385443,0.544691818076861
ft_A,object_moving,inf,5,-0.0019063723087310968,-0.004565711130683293,0.0007529665132210994,0.11740757592219292
ft_A,pointing,10.0,2,8.04685964355123e-05,-0.008674310491523047,0.008835247684394072,0.9259859312322812
ft_A,pointing,20.0,2,-0.0003837938281893716,-0.04466269062041952,0.043895102964040776,0.9301686499912686
ft_A,pointing,inf,2,-0.0037773655503665626,-0.03557342394410745,0.028018692843374327,0.372482362726632
ft_A,steering,10.0,9,-0.0013257690601878745,-0.0018642788596353662,-0.0007872592607403828,0.0004664980766358326
ft_A,steering,20.0,9,-7.05437527764246e-06,-0.0005123182259607776,0.0004982094754054928,0.9751046014567585
ft_A,steering,inf,9,-0.00013546148935953775,-0.00034040292923230033,6.947995051322483e-05,0.16596099477723392
ft_A,tablet_writing,10.0,44,0.00041811339591148314,-0.0007295383302348673,0.0015657651220578337,0.46649642012055337
ft_A,tablet_writing,20.0,44,0.0006932169547640648,-0.0003958005849961397,0.0017822344945242694,0.2061109368967474
