checkpoint,domain,group,metric,mean,lower,upper,n_units,unit
ft_released,synthetic,snr20_refr1-1.5,Onset_Precision,0.9095745330596632,0.9042061291542406,0.9149145491592681,512,trial
ft_released,synthetic,snr20_refr1-1.5,Onset_Recall,0.9898385814977992,0.9878219483214339,0.9917634721155179,512,trial
ft_released,synthetic,snr20_refr1-1.5,Onset_F1,0.9469164805647182,0.943752862168875,0.9501758888333389,512,trial
ft_released,synthetic,snr20_refr1-1.5,Onset_Distance,0.34967463135215515,0.3383679615841462,0.36112760903976054,512,trial
ft_released,synthetic,snr20_refr1-1.5,Amplitude_R2,0.9910456378711388,0.9891652696765959,0.9926673099194886,512,trial
ft_released,synthetic,snr20_refr1-1.5,Duration_R2,0.9799445597454906,0.9768634266481968,0.9827356921246974,512,trial
ft_released,synthetic,snr20_refr1-1.5,Number_of_submovements_per_second,1.4608594313176582,1.4465625585417001,1.475507867971828,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Reconstruction_R2,0.9872443977510557,0.9866772177541862,0.9878148258168948,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Reconstruction_MASE,0.08703698431054363,0.0857393989825141,0.08828776570935588,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Onset_Precision,0.7837832228487713,0.779781027773286,0.7875883407061682,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Onset_Recall,0.8657640366047908,0.8623415195802049,0.8692683091416927,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Onset_F1,0.8218687361170365,0.8189035768022013,0.8247292962115327,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Onset_Distance,0.6765874343123552,0.6648021069185109,0.6888249705508274,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Amplitude_R2,0.7379666075576097,0.7311698755860562,0.7446371976577211,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Duration_R2,0.7683100848225877,0.762021558379638,0.7748508212564047,512,trial
ft_released,synthetic,snrinf_refr0.0-0.5,Number_of_submovements_per_second,4.949297111306805,4.904997304394783,4.995589104582905,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Reconstruction_R2,0.9989935985067859,0.9987252658902435,0.9991688661830267,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Reconstruction_MASE,0.019816399919363903,0.019405313823244796,0.020266814932028865,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Onset_Precision,0.9706263319136079,0.9681301154842975,0.9729828688311344,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Onset_Recall,0.9963704296251564,0.9954743707222196,0.9971758836046336,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Onset_F1,0.9830840134057429,0.9817311500636913,0.9844336974956238,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Onset_Distance,0.044082811654390194,0.04018307805316072,0.04788298234271979,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Amplitude_R2,0.9955237780231982,0.9945343842089642,0.9963824782375014,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Duration_R2,0.9939056094735861,0.992862453503767,0.9947758111724397,512,trial
ft_released,synthetic,snrinf_refr0.5-1.0,Number_of_submovements_per_second,2.233828211974469,2.217421960125648,2.2504688358167186,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Reconstruction_R2,0.9999176770215854,0.9999107281822944,0.9999228787462926,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Reconstruction_MASE,0.007645981168479921,0.007519271637397651,0.007765535578516847,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Onset_Precision,0.9963508684759534,0.9952283878160451,0.9974526134920052,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Onset_Recall,0.9997270453299443,0.9993512946072568,1.0,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Onset_F1,0.997986804617199,0.9973305716134367,0.998595837257164,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Onset_Distance,0.004919438954765041,0.003498114010225508,0.006473145281792105,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Amplitude_R2,0.998653149115853,0.9978925433300901,0.9992439870839007,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Duration_R2,0.9982847679639235,0.9971565871441271,0.9990829737274908,512,trial
ft_released,synthetic,snrinf_refr1-1.5,Number_of_submovements_per_second,1.340625065859058,1.3307813183819235,1.3502344385651668,512,trial
ft_released,organic,Fitts/snrinf,Reconstruction_R2,0.926976171836257,0.8971439599990845,0.9502545595169067,10,participant
ft_released,organic,Fitts/snrinf,Reconstruction_MASE,0.22967896397411824,0.206307877227664,0.26690787076950073,10,participant
ft_released,organic,Fitts/snrinf,Number_of_submovements_per_second,1.6437538989633322,1.3647650554776192,1.8421052768826485,10,participant
ft_released,organic,Fitts/snr20,Reconstruction_R2,0.9239985869973898,0.8959509320557117,0.9446714669466019,10,participant
ft_released,organic,Fitts/snr20,Reconstruction_MASE,0.2321432435065508,0.20817959122359753,0.26094645261764526,10,participant
ft_released,organic,Fitts/snr20,Number_of_submovements_per_second,1.543959577716887,1.3574660941958427,1.8390804156661034,10,participant
ft_released,organic,Fitts/snr10,Reconstruction_R2,0.9112676505595446,0.8726161122322083,0.9319001920521259,10,participant
ft_released,organic,Fitts/snr10,Reconstruction_MASE,0.256803910151124,0.24335114173591138,0.2791077636182307,10,participant
ft_released,organic,Fitts/snr10,Number_of_submovements_per_second,1.3758156186249106,1.0958903655409813,1.7025150801055118,10,participant
ft_released,organic,crank/snrinf,Reconstruction_R2,0.9172092300504446,0.8936524718999863,0.9348113439977169,5,participant
ft_released,organic,crank/snrinf,Reconstruction_MASE,0.06153831768594682,0.05291406437754631,0.06688003242015839,5,participant
ft_released,organic,crank/snrinf,Number_of_submovements_per_second,5.877661936730147,5.679254159331322,6.030769050121307,5,participant
ft_released,organic,crank/snr20,Reconstruction_R2,0.9484031317681074,0.9371704943478107,0.9589148759841919,5,participant
ft_released,organic,crank/snr20,Reconstruction_MASE,0.04458982061967254,0.03788313269615173,0.04917483404278755,5,participant
ft_released,organic,crank/snr20,Number_of_submovements_per_second,5.573359485603869,5.454545617103577,5.647059381008148,5,participant
ft_released,organic,crank/snr10,Reconstruction_R2,0.9084220948964358,0.894126957654953,0.919311124831438,5,participant
