checkpoint,dataset,snr,metric,participant,n_trials,estimate,lower,upper
pre_released,crank,20.0,Number_of_submovements_per_second,BGN,200,4.080771835148335,3.9944488514866676,4.170856335880235
pre_released,crank,20.0,Number_of_submovements_per_second,INZ,200,4.196880057826638,4.069662717869505,4.3159535561129445
pre_released,crank,20.0,Number_of_submovements_per_second,IWD,200,4.1801202144473795,4.027413451848552,4.336578339328989
pre_released,crank,20.0,Number_of_submovements_per_second,KTN,200,4.317051005735993,4.149127954328433,4.488145404271782
pre_released,crank,20.0,Number_of_submovements_per_second,OPO,200,4.04101851247251,3.942994592199102,4.143133642449975
pre_released,crank,20.0,Reconstruction_MASE,BGN,200,0.124213311935,0.12113422667625001,0.127574529911625
pre_released,crank,20.0,Reconstruction_MASE,INZ,200,0.12319633738499998,0.11950319894200001,0.12692326937625
pre_released,crank,20.0,Reconstruction_MASE,IWD,200,0.13427111023,0.129902401573625,0.138835852229375
pre_released,crank,20.0,Reconstruction_MASE,KTN,200,0.12336669358,0.12034991301675001,0.12668168998775
pre_released,crank,20.0,Reconstruction_MASE,OPO,200,0.12209361185,0.118623226676875,0.1256028761225
pre_released,crank,20.0,Reconstruction_R2,BGN,200,0.6629591172933579,0.6370871791243553,0.6892851576954125
pre_released,crank,20.0,Reconstruction_R2,INZ,200,0.6328325581550598,0.6070100921988487,0.6558088589832186
pre_released,crank,20.0,Reconstruction_R2,IWD,200,0.6313222616910934,0.5912791495546699,0.6679012568369508
pre_released,crank,20.0,Reconstruction_R2,KTN,200,0.6395337191224099,0.6092837398946286,0.6681032427027821
pre_released,crank,20.0,Reconstruction_R2,OPO,200,0.6463672742247581,0.6196711587458849,0.6717497599720955
pre_released,crank,inf,Number_of_submovements_per_second,BGN,200,4.821061551198364,4.664636677885428,4.971681193169206
pre_released,crank,inf,Number_of_submovements_per_second,INZ,200,5.486564748734236,5.292153874207288,5.69618089031428
pre_released,crank,inf,Number_of_submovements_per_second,IWD,200,5.333863592147827,5.099966133115813,5.575164369000122
pre_released,crank,inf,Number_of_submovements_per_second,KTN,200,5.312272591888904,5.077779709473252,5.55877815010026
