checkpoint,domain,group,variant,mean,lower,upper,n
ft_released,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.9876530196737088,0.9870914108700903,0.9882044711787764,512
ft_released,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.9989958394477144,0.9987128172331723,0.99917061146989,512
ft_released,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.9990128900750237,0.9987324685706863,0.9991887923246272,512
ft_released,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9999177377862507,0.999910908943275,0.9999226118758088,512
ft_released,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.9999197204611896,0.9999085873424096,0.9999266483109924,512
pre_released,synthetic,all,per-trial mean (mine),0.9839225706738846,0.9833961531917642,0.984420172180075,4608
pre_released,synthetic,all,pooled recompute (paper),0.9786336215864416,0.977954065598079,0.979311369304362,4608
pre_released,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.9483245085694944,0.9470216595975216,0.9496107482817024,512
pre_released,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9491229109386773,0.9476792835920719,0.9504804216711887,512
pre_released,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9711857858741423,0.9702307224797551,0.9721009403496282,512
pre_released,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.9715486079240844,0.9705043559696154,0.9725359760422178,512
pre_released,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.9864017309267074,0.9856743625801755,0.9870549673069036,512
pre_released,synthetic,snr10.0_refr1-1.5,pooled recompute (paper),0.9863177017282092,0.9854140027242054,0.987119637593089,512
pre_released,synthetic,snr20.0_refr0.0-0.5,per-trial mean (mine),0.9753500282891328,0.9743767415871843,0.9762314852559939,512
pre_released,synthetic,snr20.0_refr0.0-0.5,pooled recompute (paper),0.9758292703546508,0.9748257075033037,0.9767189090588654,512
pre_released,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9933392541637877,0.9927764556981856,0.9938702229468618,512
pre_released,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9934730224281364,0.9929190654943184,0.9939838522793881,512
pre_released,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9979453346020309,0.9976667793642264,0.9981553997000446,512
pre_released,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.997906241787786,0.9975553517956354,0.9981708399371177,512
pre_released,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9852025137742748,0.9845602404529927,0.9857728232338558,512
pre_released,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.9856371847102798,0.9849900467863656,0.9862017114332643,512
pre_released,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.9983149611131521,0.9981773266044911,0.9984302508732071,512
pre_released,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.9983507285168669,0.9982071440191769,0.998467029977117,512
pre_released,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9992930435542948,0.9992743527982384,0.9993113988253753,512
pre_released,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.9993377261607138,0.9993156703404845,0.9993572466325479,512
