checkpoint,dataset,snr,metric,n_participants,median,q25,q75,min_estimate,max_estimate,envelope_lo,envelope_hi,mixture_lo,mixture_hi
ft_A,crank,20.0,Number_of_submovements_per_second,5,5.626331023871899,5.605964083224535,5.627364679053426,5.605194856971503,5.70134182870388,5.524846633058041,5.762027834113687,5.551567427180707,5.736938499044626
ft_A,crank,20.0,Reconstruction_MASE,5,0.052811797254999994,0.04994684122500001,0.05629355272,0.049667066395,0.06145568172500001,0.04660848353725,0.06471701312974999,0.047474586143125,0.0632823490795
ft_A,crank,20.0,Reconstruction_R2,5,0.922369328737259,0.9179839092493057,0.9239220896363258,0.9124753528833389,0.9296729838848115,0.9033420274853706,0.9374834091961384,0.9069474187493324,0.934788027793169
ft_A,crank,inf,Number_of_submovements_per_second,5,5.801129119098187,5.763006113469601,5.9164483152329925,5.733576663583517,5.9285261638462545,5.669437866155058,6.014100868329406,5.692438900843262,5.991756284236907
ft_A,crank,inf,Reconstruction_MASE,5,0.0690984581,0.065208139045,0.06985672563499999,0.06399499669999999,0.074153825465,0.061133394623874994,0.076997778965375,0.062067890855374994,0.075883445397875
ft_A,crank,inf,Reconstruction_R2,5,0.8823815846443176,0.8734350278973579,0.8872325187921524,0.8667223957180977,0.8906039765477181,0.8531942882612348,0.8993637663647532,0.8585329704806209,0.8971025224849581
ft_A,object_moving,10.0,Number_of_submovements_per_second,5,2.579544620937668,2.545960003626533,2.581679136143066,2.4781124806031585,2.5845173962879926,2.320329700119328,2.7792787876358487,2.3587698658317096,2.7489342415239664
ft_A,object_moving,10.0,Reconstruction_MASE,5,0.1666918972625,0.16399933951250004,0.16730203954999998,0.16089442370625,0.168620656875,0.15043719644171877,0.18052284808296873,0.1525136865365625,0.17888497480968749
ft_A,object_moving,10.0,Reconstruction_R2,5,0.9174462828785181,0.915355833619833,0.9181636422872543,0.9106411926448346,0.9226168509572744,0.8895819605235011,0.9364545546844601,0.8971371299400925,0.9329855105187744
ft_A,object_moving,20.0,Number_of_submovements_per_second,5,3.38457079580985,3.2774471912998706,3.3893004949204624,3.220412749098614,3.4357403120957315,3.0903575667121914,3.574841887783259,3.136322977161035,3.5319457692559806
ft_A,object_moving,20.0,Reconstruction_MASE,5,0.09388913017499999,0.09176122660625,0.09707383080625001,0.08896407145624999,0.09934703137499999,0.08401098001703125,0.1072757913703125,0.085645333663125,0.10413017241093749
ft_A,object_moving,20.0,Reconstruction_R2,5,0.9742098066955804,0.9735366091132164,0.9758324313908815,0.9679524369537831,0.9771864581853151,0.9577546776272357,0.980527682164684,0.9627687041368336,0.9798243874218314
ft_A,object_moving,inf,Number_of_submovements_per_second,5,4.023728340631351,4.023468077648431,4.032450970960781,3.9939800812862813,4.092434511054307,3.829642461502226,4.251192992529832,3.8636692001426125,4.208197614195524
ft_A,object_moving,inf,Reconstruction_MASE,5,0.09852240595625,0.09470278440625,0.10620576819375001,0.0935574727,0.10629386995000001,0.08852445539453124,0.1137490253959375,0.08989151745796875,0.11186320202140626
ft_A,object_moving,inf,Reconstruction_R2,5,0.9711270269006491,0.9644278325140476,0.9722214598208666,0.9635203674435615,0.974312350898981,0.956095899734646,0.9775667129363864,0.9578122616931796,0.9766510166972875
ft_A,pointing,10.0,Number_of_submovements_per_second,2,0.9045695656340487,0.8934027978382896,0.9157363334298076,0.8822360300425306,0.9269031012255666,0.8336546507114208,0.984747545302121,0.8410187220552948,0.975360748433691
