checkpoint,dataset,snr,mean,lower,upper,n
ft_released,crank,10.0,0.8863044058964922,0.863387889450324,0.9092209223426604,5
ft_released,crank,20.0,0.9251507397000488,0.9070798281475859,0.9432216512525117,5
ft_released,crank,inf,0.8889488736202067,0.8620102020136189,0.9158875452267945,5
ft_released,object_moving,10.0,0.9381507308741724,0.9278735863975726,0.9484278753507723,5
ft_released,object_moving,20.0,0.973210031128023,0.9701304769985417,0.9762895852575042,5
ft_released,object_moving,inf,0.9694011174290947,0.956349885310416,0.9824523495477735,5
ft_released,pointing,10.0,0.9677136361016749,0.9241336928259845,1.0112935793773654,2
ft_released,pointing,20.0,0.9809764822908477,0.9754371580308638,0.9865158065508315,2
ft_released,pointing,inf,0.9839952976816815,0.9568629631385768,1.0111276322247862,2
ft_released,steering,10.0,0.9443671536765341,0.9400057029345128,0.9487286044185554,9
ft_released,steering,20.0,0.9706354491320658,0.9659447560903294,0.9753261421738022,9
ft_released,steering,inf,0.9727112213765137,0.9686631830721204,0.9767592596809069,9
ft_released,tablet_writing,10.0,0.8032724388552414,0.7871770342461535,0.8193678434643292,33
ft_released,tablet_writing,20.0,0.8539465304623757,0.8388174244269742,0.8690756364977772,40
ft_released,tablet_writing,inf,0.8624328760462895,0.845523510548138,0.879342241544441,38
ft_released,whacamole,10.0,0.8984369742684066,0.8854805504525353,0.911393398084278,128
ft_released,whacamole,20.0,0.9248794829472899,0.9118226948354435,0.9379362710591364,128
ft_released,whacamole,inf,0.9293756522238255,0.9163407713259085,0.9424105331217424,128
pre_released,Fitts,10.0,0.8755243704248687,0.8385053854713141,0.9125433553784233,10
pre_released,Fitts,20.0,0.8972149788529867,0.8612969684052824,0.9331329893006911,10
pre_released,Fitts,inf,0.8582974539489863,0.8124447750910612,0.9041501328069114,10
pre_released,crank,10.0,0.5814271737862851,0.5344385781845054,0.6284157693880648,5
pre_released,crank,20.0,0.6524661411410009,0.5811074565135255,0.7238248257684763,5
pre_released,crank,inf,0.6600766833882382,0.5825741858225799,0.7375791809538965,5
pre_released,object_moving,10.0,0.9182307963491116,0.9124020949439196,0.9240594977543037,5
pre_released,object_moving,20.0,0.941134226500426,0.9205289900011521,0.9617394629996999,5
pre_released,object_moving,inf,0.9603073153655414,0.949549521172402,0.9710651095586808,5
pre_released,pointing,10.0,0.9714558191934057,0.9398010894161937,1.0031105489706178,2
pre_released,pointing,20.0,0.9763444431272208,0.9731417634682962,0.9795471227861454,2
pre_released,pointing,inf,0.9750103813265425,0.9057093632533482,1.0443113993997368,2
pre_released,steering,10.0,0.9425075383626039,0.9369221439588847,0.9480929327663231,9
pre_released,steering,20.0,0.9625261460373431,0.9575782597631862,0.9674740323115,9
pre_released,steering,inf,0.9641675160368587,0.9589434239704183,0.969391608103299,9
pre_released,tablet_writing,10.0,0.7937159888107008,0.7746594987783626,0.812772478843039,33
pre_released,tablet_writing,20.0,0.8284919582857263,0.812032748253953,0.8449511683174996,40
pre_released,tablet_writing,inf,0.8319361821302496,0.811809833364375,0.8520625308961242,38
pre_released,whacamole,10.0,0.8839335311204195,0.8704744595768852,0.8973926026639538,128
pre_released,whacamole,20.0,0.9072529482655227,0.8936473215423701,0.9208585749886753,128
pre_released,whacamole,inf,0.9124391814693809,0.899098555093269,0.9257798078454927,128
pre_rerun,Fitts,10.0,0.8763267167318951,0.8369737876001524,0.9156796458636378,10
pre_rerun,Fitts,20.0,0.8985058700896845,0.8654720364448405,0.9315397037345285,10
pre_rerun,Fitts,inf,0.8519510549770878,0.8062008131644981,0.8977012967896775,10
pre_rerun,crank,10.0,0.5442851274982999,0.49556599506042237,0.5930042599361774,5
pre_rerun,crank,20.0,0.6300830061152661,0.5838400482853793,0.676325963945153,5
pre_rerun,crank,inf,0.20277010846955754,-0.5075402130923836,0.9130804300314987,5
pre_rerun,object_moving,10.0,0.9161285469267103,0.8922977330305362,0.9399593608228844,5
pre_rerun,object_moving,20.0,0.9547434673104748,0.9454710937388893,0.9640158408820603,5
pre_rerun,object_moving,inf,0.944973857569219,0.9271112276896671,0.9628364874487709,5
